Preguntas,Respuesta_Correctas,Alternativa_2_(Incorrecta),Alternativa_3_(Incorrecta),Alternativa_4_(Incorrecta),Categoria,Dificultad
¿Cuál es el título de la novela de Rosa María Britton que narra la historia de una mujer que vive en la selva panameña?,Cuna de culebra,El lugar sin límites,Ficciones,Pantaleón y las visitadoras,Autores latinos,Facil
¿De qué libro de Gabriel García Márquez es famoso el personaje de Remedios La Bella?,Cien años de soledad,El coronel no tiene quien le escriba,La noche boca arriba,Mi niña bella,Autores latinos,Facil
¿Qué libro de Mario Vargas Llosa fue adaptado al cine con el mismo título?,La ciudad y los perros,Soñar con la ciudad,Rex Angelorum,El zarco,Autores latinos,Facil
"¿Qué autor escribió el libro ""Rayuela""?",Julio Cortázar,José Emilio Pacheco,Juan Carlos Onetti,Mario Benedetti,Autores latinos,Facil
"¿Quién es el autor del cuento ""El almohadón de plumas""?",Horacio Quiroga,Carlos Fuentes,Ernesto Sábato,Romulo Gallegos,Autores latinos,Facil
¿Cuál es el título del libro de Mario Vargas Llosa que comienza con el descubrimiento de un cuerpo de un joven aviador llamado Palomino Molero?,"""¿Quién mató a Palomino Molero?""",El zarco,Vivir para contarla,Veronika quiere morir,Autores latinos,Facil
"¿Qué autor escribió el cuento ""El Aleph""?",Jorge Luis Borges,Pablo Neruda,Clarice Lispector,Octavio Paz,Autores latinos,Facil
"¿Qué autor escribió el cuento ""El llano en llamas""?",Juan Rulfo,Jorge Amado,José Martí,Mario Vargas Llosa,Autores latinos,Facil
"¿Quién es el autor de ""Cien años de soledad""?",Gabriel García Márquez,Mario Vargas Llosa,Jorge Luis Borges,Andrés Eloy Blanco,Autores latinos,Facil
"¿Cuál es el nombre del personaje principal del cuento ""La ciudad y los perros""?",Cadete Cava,Diamela Eltit,José Emilio Pacheco,Clarice Lispector,Autores latinos,Facil
"¿Qué autor escribió el libro ""El amor en los tiempos del cólera""?",Gabriel García Márquez,Jorge Luis Borges,Juan Rulfo,Horacio Quiroga,Autores latinos,Facil
"¿De qué autor es el famoso el cuento ""La Continuidad de los Parques""?",Julio Cortázar,Jorge Luis Borges,Ernesto Sábato,Mario Vargas Llosa,Autores latinos,Facil
¿Qué libro de Paulo Coelho cuenta la historia de un joven que busca su destino en un viaje espiritual?,El Alquimista,Veronika quiere morir,Mujercita,Tokyo Blues,Autores latinos,Facil
¿Cuál es el título del libro de Gabriel García Márquez que cuenta la historia de la familia Buendía?,Cien años de soledad,El coronel no tiene quien le escriba,Vivir para contarla,La culpa es de la vaca,Autores latinos,Facil
"¿Quién es el autor de la novela ""El guardián entre el centeno""?",J.D. Salinger,Arundhati Roy,Alexandre Dumas,Arthur Conan Doyle,Cultura general,Facil
¿Cómo se llama la trilogía de novelas de Suzanne Collins que fue adaptada al cine?,Los juegos del hambre,El sexto sentido,La Venus de Milo,Los miserables,Cultura general,Facil
"¿Cuál es el nombre de la protagonista en la novela ""Orgullo y prejuicio""?",Elizabeth Bennet,Celeste Ng,David Mitchell,Emily Brontë,Cultura general,Facil
"¿Cómo se llama el personaje principal en ""El nombre del viento""?",Kvothe,El origen,"El bueno, el malo y el feo",Romeo y Julieta,Cultura general,Facil
¿Cuál es el nombre de la novela de Stephen King publicada en 1986 que sigue a un grupo de niños enfrentando a un monstruo que se alimenta del miedo?,It ,La La Land,El nacimiento de Venus,Casablanca,Cultura general,Facil
¿Cuál es el título de la novela distópica de Ray Bradbury publicada en 1953?,Fahrenheit 451,El padrino,La noche estrellada,Ciudad de Dios,Cultura general,Facil
"¿Quién es el autor de la novela ""El retrato de Dorian Gray""?",Oscar Wilde,Charles Dickens,Mark Twain,H.P. Lovecraft,Cultura general,Facil
"¿Quién es el autor de la novela ""Matar a un ruiseñor""?",Harper Lee,Toni Morrison,Agatha Christie,Michael Crichton,Cultura general,Facil
"¿Cuál es el nombre del personaje principal en ""El Hobbit""?",Bilbo Bolsón,Frodo Bolsón,Gandalf,Legolas,Cultura general,Facil
"¿Quién es el autor de la saga de libros ""Canción de Hielo y Fuego""?",George R.R. Martin,J.R.R. Tolkien,Arthur Conan Doyle,Gillian Flynn,Cultura general,Facil
"¿Cuál es el título del primer libro de la saga ""Cazadores de sombras""?",Ciudad de hueso o City of Bones,El resplandor,El mago de Oz,La Venus de Milo,Cultura general,Facil
"¿Quién es el personaje principal en ""Los Juegos del Hambre""?",Katniss Everdeen,El origen,El gran Lebowski,Toy Story,Cultura general,Facil
"¿Cuál es el título del primer libro de la saga ""Canción de Hielo y Fuego""?",Juego de Tronos,Danza de dragones,Amélie,El padrino,Cultura general,Facil
"¿Qué autor escribió el libro ""El nombre del viento""?", Patrick Rothfuss,Paulo Coelho,Khaled Hosseini,Suzanne Collins,Cultura general,Facil
"¿Quién es el autor de la trilogía ""El Señor de los Anillos""?",J.R.R. Tolkien,J.K. Rowling,C.S. Lewis,George R.R. Martin,Cultura general,Facil
¿Cuál es el título de la primera novela de Harry Potter?,Harry Potter y la piedra filosofal,Pedro Páramo,La fiesta del chivo,El amor en los tiempos del cólera,Cultura general,Facil
"¿Cuál es el nombre del personaje principal en la novela ""Don Quijote de la Mancha""?",Alonso Quixano,George Orwell,Joanne Harris,Liane Moriarty,Cultura general,Facil
¿Cuál fue el destino de las almas de los que cometieron crímenes terribles en la mitología griega?,Tártaro,Pandora,Euterpe,Leto,Mitologia Griega,Media
¿Cuál fue el nombre del rey de los titanes en la mitología griega?,Cronos,Perseo,Leto,Atlas,Mitologia Griega,Media
¿Cuál fue el nombre de la diosa de la caza y protectora de las doncellas en la mitología griega?,Artemisa,Hebe,Quirón,Pegaso,Mitologia Griega,Media
¿Cuál fue el nombre del perro de tres cabezas que guardaba la entrada al inframundo en la mitología griega?,Cerbero,Artemisa,Centauro,Deméter,Mitologia Griega,Media
¿Cuál era el nombre del dios del viento del norte en la mitología griega?,Bóreas,Atenea,Prometeo,Tántalo,Mitologia Griega,Media
¿Cuál fue el nombre del gigante de cien ojos en la mitología griega que fue contratado para vigilar a Hera?,Argos Panoptes,Sirenas,Hebe,Persefone,Mitologia Griega,Media
¿Cuál fue el nombre del dios del sueño en la mitología griega?,Hipnos,Atenea Niké,Selene,Narciso,Mitologia Griega,Media
¿Cuál era el nombre de la diosa primordial que personificaba el caos en la mitología griega?,Caos,Leto,Hefaestos,Tántalo,Mitologia Griega,Media
¿Cuál fue el monstruo marino que fue enviado por Poseidón para castigar a Etiopía en la mitología griega?,Ceto,Eolo,Heracles,Aquiles,Mitologia Griega,Media
¿Cuál fue el destino final de los héroes en la mitología griega?,Campos Elíseos,Mérope,Ulises,Quirón,Mitologia Griega,Media
"¿Cuál fue el castigo de Sísifo, según la mitología griega?",empujar una roca cuesta arriba,llenar un tonel sin fondo,Encadenado por la eternidad,ciclo interminable de sed y hambre,Mitologia Griega,Media
¿Cuál fue el nombre del ángel que anunció a María que daría a luz al Hijo de Dios?,Gabriel,Drácula,Las aventuras de Tom Sawyer,Crimen y castigo,Biblia,Media
"¿Cuál es el título de la novela de Virginia Woolf que explora temas de género y narrativa, siguiendo la vida de Orlando, un personaje que cambia de género a lo largo de la historia?",Orlando,Maurico,Pedor,Isaac,Biblia,Media
Cuál es la leyenda venezolana que relata la historia de una serpiente gigante que vive en los ríos y lagos?,La serpiente de 7 cabezas,Yggdrasil,Chalchiuhtlicue,Ollantaytambo,Mitologia Latina,Media
": ¿Cuál es la leyenda guatemalteca que narra la historia de un enano que lleva consigo un enorme sombrero, dando serenatas a las mujeres que elige?",Sombrerón,Jurupari,Macunaíma,Inti,Mitologia Latina,Media
¿Quién es el dios de la lluvia en la mitología mexica?,Tlaloc,Puebla,Inti,Urcu,Mitologia Latina,Media
¿Cuál es la leyenda argentina que cuenta la historia de una mujer que se transforma en una serpiente gigante?,Nahuelito,Sacsayhuaman,Tlaloc,Chac,Mitologia Latina,Media
¿Cuál es la leyenda peruana que narra la historia de un tesoro escondido en los Andes y protegido por un guardián mítico?,La Leyenda del Dorado,Ciudad Perdida,Sacsayhuaman,Itzamná,Mitologia Latina,Media
¿Cuál es la leyenda brasileña que habla de un ser mítico con pies al revés que vive en las profundidades de los ríos?,Curupira,Paititi,Tezcatlipoca,Coquena,Mitologia Latina,Media
"¿Cuál es el autor mexicano famoso por su novela ""Pedro Páramo""?",Juan Rulfo,Gabriel García Márquez,José María Arguedas,Jorge Luis Borges,Autores latinos,Media
"¿Quién es el autor uruguayo conocido por su obra ""Las venas abiertas de América Latina""?",Eduardo Galeano,Elena Poniatowska,Juan Carlos Onetti,Juan Rulfo,Autores latinos,Media
"¿Quién es el autor guatemalteco conocido por su novela ""El Señor Presidente""?",Miguel Ángel Asturias,Pablo Neruda,Claribel Alegría,Elena Poniatowska,Autores latinos,Media
"¿Cuál es el autor cubano conocido por su novela ""El siglo de las luces""?",Alejo Carpentier,Horacio Quiroga,Gabriel Mistral,César Vallejo,Autores latinos,Media
¿Por que obra el autor Mario Vargas Llosa gano el Premio Nobel de Literatura en 2010?,La fiesta del chivo,El laberinto de la soledad,Pantaleón y las visitadoras,Crónica de una muerte anunciada,Autores latinos,Media
"¿Cuál es el autor dominicano conocido por su novela ""La breve y maravillosa vida de Óscar Wao"" y ganador del Premio Pulitzer en 2008?",Junot Díaz,Guillermo Cabrera Infante,Miguel Ángel Asturias,José María Arguedas,Autores latinos,Media
¿Cuál es el título de la película dirigida por Christopher Nolan en la que se explora el concepto del tiempo y presenta una trama de viajes en el tiempo?,Interstellar,Fahrenheit 451,Orgullo y prejuicio,La última cena,Cultura general,Media
¿Cuál es el título de la novela de Mark Haddon que presenta la perspectiva de un joven con trastorno del espectro autista y sigue su investigación para resolver un misterio?,El curioso incidente del perro a medianoche,Drácula,Romeo y Julieta,Don Quijote de la Mancha,Cultura general,Media
¿Cuál es el nombre del robot amigable y curioso en un de las peliculas de animacion de Pixar?,Wall-E,Buzz,Jessy,Tom,Cultura general,Media
"En la película ""El quinto elemento"", ¿qué es el ""quinto elemento"" al que hace referencia el título?",El amor,Anna Karenina,El cuervo,1984,Cultura general,Media
"¿Cuál es el nombre del protagonista de la trilogía de películas ""The Matrix"" que descubre que el mundo en el que vive es una simulación de realidad virtual?",Neo,Trinity,Morfeo,Alex,Cultura general,Media
"¿Quién es el autor de la novela ""Moby Dick"", una historia épica sobre la obsesión de un capitán de barco por cazar una gran ballena?",Herman Melville,Joanne Harris,Arthur Conan Doyle,Gillian Flynn,Cultura general,Media
"¿Quién es el autor de la novela de aventuras ""La isla del tesoro""?",Robert Louis Stevenson,Harper Lee,Paulo Coelho,Leo Tolstoy,Cultura general,Media
"¿Quién es el autor de la novela ""Los pilares de la Tierra"", que se desarrolla en la Inglaterra medieval?",Ken Follett,David Mitchell,Suzanne Collins,Virginia Woolf,Cultura general,Media
¿Cuál es el título de la novela de Antoine de Saint-Exupéry que narra la historia de un pequeño príncipe que viaja de planeta en planeta?,El principito,Don Quijote de la Mancha,Los juegos del hambre,Fahrenheit 451,Cultura general,Media
"¿Quién es el autor de la novela ""Las aventuras de Tom Sawyer""?",Mark Twain,Fredrik Backman,Arthur Conan Doyle,Bram Stoker,Cultura general,Media
¿Cuál es el título de la novela de F. Scott Fitzgerald que retrata la era del jazz en Estados Unidos?,El gran Gatsby,El código Da Vinci,Guerra y paz,Las aventuras de Tom Sawyer,Cultura general,Media
"¿Cuál es el autor de la trilogía ""Millennium"", que incluye la novela ""Los hombres que no amaban a las mujeres""?",Stieg Larsson,Mary Shelley,Agatha Christie,N.K. Jemisin,Cultura general,Media
"¿Quién escribió la novela distópica ""1984""?",George Orwell,Amor Towles,Roberto Bolaño,Khaled Hosseini,Cultura general,Media
"¿Quién es el autor de la trilogía ""Maze Runner""?",James Dashner.,Fredrik Backman,Neil Gaiman,J.R.R. Tolkien,Cultura general,Media
¿Cuál era el nombre de la profetisa y sacerdotisa de Apolo en Delfos en la mitología griega?,Sibila de Delfos,Atalanta,Poseidón,Aquiles,Mitologia Griega,Dificil
¿Cuál fue el nombre del caballo alado que nació del cuello de Medusa cuando fue decapitada por Perseo?,Pegaso,Ariadna,Eros,Poseidón,Mitologia Griega,Dificil
¿Cuál era el nombre de la diosa de la discordia y la rivalidad en la mitología griega?,Eris,Pandora,Narciso,Deméter,Mitologia Griega,Dificil
¿Cuál fue el nombre del titán que robó el fuego para dárselo a los humanos en la mitología griega?,Prometeo,Aquiles,Helios,Pegaso,Mitologia Griega,Dificil
¿Cuál fue el nombre del gigante que fue derrotado por Zeus y los dioses olímpicos en la gigantomaquia?,Tifón,Deméter,Eco,Atenea,Mitologia Griega,Dificil
¿Quién fue el padre de Caín y Abel en el Antiguo Testamento?,Adán,Jacob,Moisés,Juan,Biblia,Dificil
"¿Cuál es la autora y periodista española conocida por su libro ""Cautiva en Arabia""?",Cristina Morató,Arundhati Roy,Neil Gaiman,Philip K. Dick,Autores latinos,Dificil
"¿Quién es el autor colombiano conocido por su novela ""El general en su laberinto""?",Gabriel García Márquez,Celeste Ng,Haruki Murakami,N.K. Jemisin,Autores latinos,Dificil
"¿Quién es el autor guatemalteco conocido por su novela ""Hombres de maíz"" y fue ganador del Premio Nobel de Literatura en 1967?",Miguel Ángel Asturias,Horacio Quiroga,Roberto Bolaño,Clarice Lispector,Autores latinos,Dificil
"¿Quién escribió el libro ""El jardinero fiel"", en el que se aborda la discriminación y la explotación de personas en el contexto de la industria farmacéutica?",John le Carré,Andrzej Sapkowski,Fredrik Backman,Tommy Orange,Cultura general,Dificil
¿Cuál es el título de la novela de Ernest Hemingway que relata la historia de un viejo pescador y su lucha por capturar un gran pez?,El viejo y el mar,Don Quijote de la Mancha,La divina comedia,El señor de los anillos,Cultura general,Dificil
¿Cuál es el título de la novela de Khaled Hosseini que narra la historia de dos mujeres afganas y sus vidas marcadas por los conflictos políticos?,Cometas en el cielo,Ulises,Orgullo y prejuicio,Anna Karenina,Cultura general,Dificil
"¿Quién escribió la novela ""El perfume"", que cuenta la historia de un asesino en serie obsesionado con el sentido del olfato?",Patrick Süskind,Chimamanda Ngozi Adichie,John Green,Yaa Gyasi,Cultura general,Dificil
¿Cuál es el título de la novela de Margaret Mitchell que se desarrolla en la época de la Guerra Civil estadounidense y presenta a la protagonista Scarlett O'Hara?,Lo que el viento se llevó,Cien años de soledad,Ulises,Guerra y paz,Cultura general,Dificil
"¿Cuál es el título de la novela del escritor japonés Haruki Murakami que narra la historia de una triangulo amoros, la perdida de un ser querido y descubrimiento propio?",Tokio Blues,La Odisea,Lolita,Ulises,Cultura general,Dificil
"¿Quién es el autor de la novela ""El nombre de la rosa"", ambientada en una abadía medieval y que combina misterio y literatura?",Umberto Eco,Rosario Castellanos,Jorge Amado,José Emilio Pacheco,Cultura general,Dificil
¿Cuál es el título de la novela de Aldous Huxley que presenta una sociedad futurista donde se controla la felicidad a través de drogas y manipulación genética?,Un mundo feliz,Don Quijote de la Mancha,La Odisea,Hamlet,Cultura general,Dificil
": ¿Cuál es el título de la novela gráfica de Alison Bechdel que aborda temas de identidad de género y sexualidad, y reflexiona sobre la relación con su padre?",Fun Home,En busca del tiempo perdido,1984,Moby-Dick,Cultura general,Dificil
"¿Cuál es el título de la obra de teatro de Tony Kushner que aborda temas de identidad de género, política y VIH/SIDA en la década de 1980?",Ángeles en América,Don Quijote de la Mancha,La Odisea,Guerra y paz,Cultura general,Dificil
"¿Quién es el autor del libro ""El hombre bicentenario"", en el que se narra la historia de un robot que busca convertirse en humano y enfrenta la discriminación por su condición?",Isaac Asimov,Roberto Bolaño,E.L. James,Patrick Rothfuss,Cultura general,Dificil
"¿Cuál es el título del libro de Louisa May Alcott que trata la vida de cuatro niñas que, tras pasar la adolescencia con la Guerra Civil en los Estados Unidos, se convierten en mujeres.",Little Women,Don Quijote de la Mancha,Hamlet,Cien años de soledad,Cultura general,Dificil
